Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
Borders Talking Newspaper;TD11 3BY;59112;88990
A J McKay Visual Production;TD5 7LU;59112;59112
Pavilion Cinema;TD1 3AF;59140;59140
Jason Baxter Media;TD7 5EF;59112;74209
See It Productions;TD9 8BA;59111;59111
NORTHLIGHT PRODUCTIONS LIMITED;TD9 8RU;58110, 59112, 59113;59111
ASYLUM PICTURES LIMITED;TD9 8LN;59113;59111
AMY HARDIE PRODUCTIONS LIMITED;EH46 7AY;1280, 1430;59111
PAVILION (GALASHIELS) LIMITED;TD1 1BT;59140;59140
LLAMA-RA FILMS LTD;EH45 9JG;59112;59112
GRAVITAS NOIR LIMITED;TD9 7HR;59111;59111
THE SALTMINE LTD;TD5 8LD;59111;59111
PARKAPRODUCTIONS LIMITED;TD6 0AF;59112;59112
SR2 MEDIA LTD;TD1 3DR;74202;59112
BREAKING JAR LTD;TD4 6AT;59112;59112
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
